Genome	fox29_D_9	fox1_K_18	fox8_K_22	fox16_F_35	fox30_M_16	fox5_K_11	fox10_F_39	fox10_M_40	fox14_D_1	fox8_F_23	fox14_M_4	fox5_M_9	fox24_K_6	fox29_F_11	fox10_K_38	fox30_F_15	Control2	fox22_F_31	fox24_M_8	fox16_K_34	fox8_M_24	fox26_D_41	fox14_K_2	fox24_D_5	fox16_D_33	fox22_D_29	fox1_D_17	fox26_M_44	fox5_D_10	fox30_K_14	fox30_D_13	fox26_F_43	fox26_K_42	fox1_M_20	fox3_F_27	fox3_D_25	fox10_D_37	fox22_K_30	fox29_M_12	fox29_K_10	fox24_F_7	fox8_D_21	fox14_F_3	fox5_F_12	Control1	fox16_M_36	fox3_M_28	fox22_M_32
M_bin_24763	300	70614	142427	1597433	938818	141	1610397	1067586	1188	1610963	60686	71117	147	1535802	33703	1596124	0	1611926	42844	392	1064293	2791	0	1726	455	20526	1213189	888238	1830	0	543	1600108	15092	24499	1577146	263	1586168	424	52745	105	1518428	1613756	1589252	1606045	0	24626	116441	1347756
F_bin_188779	283	75564	123016	1689104	763282	0	1695360	889456	1512	1703997	50098	59417	268	1577097	25894	1683590	0	1705106	33961	220	868091	1622	0	688	102	19046	1195530	718388	1679	0	947	1692845	18156	20150	1653380	110	1637325	0	37025	232	1554622	1711950	1663846	1689435	0	14157	81912	1176133
M_bin_57002	147	122795	201129	1457128	1151426	150	1465365	1021555	1074	1466665	56255	79825	209	1413505	22672	1459443	0	1470996	56508	600	1198162	1759	244	1372	131	16161	1334082	1068890	1032	206	843	1454794	23097	37435	1441862	0	1430662	205	89504	207	1408339	1469955	1457331	1465047	0	55084	179253	1307483
F_bin_116764	0	276	117	8529	5688	0	12920	3575	1250	15116	0	413	0	10605	0	13550	0	11196	261	291	3067	163	0	256	1020	1542	5931	3926	658	0	563	12203	138	0	2352097	385207	9267	1277	0	600	6121	17480	10342	9620	0	435	466635	4723
D_bin_113409	2391069	12036313	12564966	11181918	12278402	7561057	6153842	12284637	8377205	4947492	9965059	7824487	12554225	10459085	11919811	9636696	6232	1868134	12301110	10548839	12364135	12406433	10209661	13488302	13123394	8213534	11357496	12595128	3390630	12098844	11732112	8479968	12263567	7313588	4881867	1170921	11306363	12121238	10743275	10906360	12600353	6831588	7857239	8875699	64	11381110	11229537	12126702
F_bin_120655	975580	12998	4056	1723597	105478	2122	850572	140574	1981718	871330	40437	23231	257	2535169	186	380714	0	1919614	195	600	39907	633172	74764	66979	22560	2915	455281	294945	1693111	550	654460	1750158	1144	3198	821501	6961	128875	0	103432	68862	128378	1228806	2497446	2215929	66	675	10147	66326
D_bin_92702	2499841	33778	45431	2695190	953101	4407	2293483	679901	2583924	2865690	96478	33263	0	3108290	868	2197857	0	3009426	2678	0	429395	1833099	100457	1184229	161590	98216	1082596	1322678	1979587	7629	2435377	3041641	5222	11166	2583795	85131	670915	0	336010	398502	1106100	2929017	3055068	2771663	187	14329	62158	524267
F_bin_120636	2071726	35221	42314	2600683	1022209	3119	2180741	679707	2357858	2812603	88696	33092	144	3015628	2241	2230225	0	2908695	2443	487	442067	1650018	98933	885312	118706	79545	944649	1283309	1451313	4792	2197124	2971762	3500	9332	2619599	61991	545701	100	308461	402377	968389	2757370	2967411	2764473	0	20287	63562	450539
D_bin_71950	471017	765	34427	1472266	80343	70	470566	47990	130137	1947074	1568	5487	0	1494480	599	627501	0	76267	103	1018	435965	4998	2495	525161	1585189	1516	32855	32192	1083539	300	456440	423042	300	132	371862	1030	73324	0	33352	15609	49810	1949191	693557	1530841	0	1569	4826	7189
F_bin_122296	315941	2841	423	2613013	19413	0	181945	22129	451630	140206	6657	221	260	1374219	0	170972	0	284825	2393	0	16038	195805	4975	2548489	770157	1171	139171	78463	114968	2054	243744	831440	0	178	70000	463	48933	0	13768	6289	2241568	174193	1648447	405371	0	7074	1379	25468
F_bin_212578	247010	2928	1392	218331	16538	1306	39486	14804	1657045	399649	12891	27533	1367	2660214	672	89386	0	480930	2004	143	26686	550822	13130	553562	162310	1452	308476	266141	973805	1471	55068	2238306	1277	665	892370	27590	25589	0	54218	9044	29888	516688	2377650	2949194	0	0	7828	19769
D_bin_72949	3757	1146	1404	14208	643	0	11371	1252	300660	74968	5689	1050	0	41335	1327	5819	150	2286938	0	300	2282	10364	2466	4855	1654	2288039	58047	652	82298	0	7812	9933	1608	104	10545	1613	6855	82731	100	0	5292	109572	237312	136429	0	178	0	1879060
F_bin_135175	0	444	216	4798	6382	0	1662982	1237566	0	34760	150	388	0	7688	16394	33006	0	21607	0	0	4871	1636	0	83	0	328	4117	429960	0	0	0	1498360	3063	0	17393	0	1605720	150	0	0	2975	28005	29472	14673	0	0	801	5585
F_bin_115099	0	111592	9159	812633	1130009	0	2095231	684151	1198	2164936	43483	126381	140	1289789	4862	2169214	0	2260413	300	0	312224	586	722	3199	300	99663	616942	437292	3511	0	1723	1396684	3103	33227	1784942	219	653797	0	48520	724	163768	1758115	2246825	2256156	0	2933	56754	1502314
F_bin_117901	150	6262	6409	446381	686878	0	1472027	521708	582	1411419	20938	14088	300	547412	2565	1429721	0	1204406	3761	0	190531	151	0	10600	181	11697	93348	578760	1017	300	3049	1327408	2367	2271	814230	0	671421	264	15758	0	403791	1273701	1502906	1477337	0	5177	13131	222976
F_bin_212632	1088	98582	27838	924763	12779	0	27653	10404	2324	1460095	1939	192	0	14908	300	43842	0	26703	459	0	444629	2041	0	1322	0	5124	1373740	1350451	1796	0	2790	1496282	23890	41043	22583	162	17456	0	698	0	9779	1439984	319856	22623	0	3229	2828	12528
F_bin_147199	0	4262	5686	396641	797616	0	783965	76024	345	1314496	18910	2913	188	520825	325	1805230	0	808921	1429	0	141628	481	0	358	0	3082	63877	520051	209	0	307	1419760	1824	1098	1145746	0	78251	0	10372	0	222317	1031944	1839571	924562	0	873	20879	83239
F_bin_119750	418	7647	102906	30360	389773	0	2325649	1281731	901	2053375	6439	982	0	1582490	30964	2117345	0	214185	572	260	838901	2762	0	1597	359	3890	361638	1063040	600	1577	3140	2310780	8282	12320	306437	0	1621155	0	50961	0	12469	1489529	1446937	706415	0	163	4488	25612
F_bin_233803	1973	1623	1491	28422	44100	0	1291837	199682	2581	796420	7277	150	219	209950	1256	237545	0	674784	526	195	54649	1802	0	879	0	2778	9157	180598	2038	0	695	768640	767	0	118936	0	137279	174	2968	0	19107	340313	1286011	132114	0	375	1603	61148
D_bin_44667	799	50681	2127	1371667	336869	0	1433266	1312389	731	438179	9627	262	300	431359	23772	1298259	0	59872	4336	0	31275	1412	216	42489	0	796	1275459	337404	688	0	1161	1222391	2118	18818	491037	0	1427834	0	5290	475	699404	376449	1325306	207715	0	3656	6715	24518
F_bin_169882	76	1513	520	12130	661767	0	449559	35806	919	188599	7557	137	0	1026	1116	1285579	0	1461527	1349	0	13462	0	0	3800	0	9746	78152	104893	0	0	358	630613	792	525	45774	0	136511	300	0	0	215381	106595	1201598	136122	0	0	615	993560
F_bin_268216	0	20357	750	27725	12200	0	1439951	504880	113	54934	1732	0	0	9650	5267	65604	0	1478876	0	0	4672	105	0	0	0	44576	869362	73441	101	0	0	582283	627	4066	972803	0	1293566	150	0	0	11272	37769	853931	19652	0	172	17164	954862
F_bin_249816	0	583	0	14497	9072	0	1667084	764079	0	36561	209	262	0	15016	5987	40967	0	119877	0	0	1946	787	0	190	0	260	30582	5432	0	0	0	43303	300	79	21442	0	1474922	0	196	0	10577	18468	30889	19914	0	0	721	26965
