annotation,(Intercept),host_type_2domestic,host_type_2wild,species
K01462,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01465,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01491,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01493,-6.3168843283115566,0.5226205007776784,0.44891759642164564,akkermansia_muciniphila
K01496,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01515,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01519,-6.316884328311557,0.5226205007776785,0.4489175964216457,akkermansia_muciniphila
K01524,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01533,-12.634195274070638,1.7458894484958618,1.8036832172562147,akkermansia_muciniphila
K01534,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01537,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01546,-5.492517784622929,-3.584747421885051,0.24263202924274746,akkermansia_muciniphila
K01547,-5.492517784622929,-3.584747421885051,0.24263202924274746,akkermansia_muciniphila
K01548,-5.492517784622929,-3.584747421885051,0.24263202924274746,akkermansia_muciniphila
K01579,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01580,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01583,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01586,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01588,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01591,-5.335372232522312,0.25649245192598347,-2.7473313796177714,akkermansia_muciniphila
K01596,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01604,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01607,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01609,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01613,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01620,-5.492517784622929,-3.584747421885051,0.24263202924274746,akkermansia_muciniphila
K01624,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01626,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01627,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01628,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01639,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01649,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01652,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01653,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01657,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01659,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
